epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
59,1825.65,0.58662,0.41614,0.89543,0.93897,0.91414,0.97442,0.7983,0.70085,0.47704,0.91518,0.000608468,0.000608468,0.000608468
60,1854.09,0.5685,0.40394,0.88528,0.94664,0.88652,0.96665,0.80382,0.64738,0.47551,0.89406,0.000594321,0.000594321,0.000594321
61,1882.38,0.57868,0.43241,0.89381,0.96328,0.91253,0.97903,0.8103,0.65369,0.46276,0.89031,0.000580174,0.000580174,0.000580174
62,1911.89,0.56293,0.40653,0.88868,0.91212,0.93105,0.96401,0.80343,0.62779,0.4979,0.8802,0.000566027,0.000566027,0.000566027
63,1940.27,0.58595,0.42003,0.89159,0.92117,0.93702,0.97767,0.80265,0.64948,0.45397,0.90192,0.00055188,0.00055188,0.00055188
64,1968.51,0.55306,0.40274,0.87881,0.94836,0.93037,0.97944,0.82414,0.64547,0.43809,0.88357,0.000537733,0.000537733,0.000537733
65,2001.86,0.54677,0.3909,0.87841,0.93929,0.93199,0.98301,0.80988,0.64464,0.44148,0.88932,0.000523586,0.000523586,0.000523586
66,2038.25,0.56226,0.40531,0.88683,0.95547,0.92482,0.98119,0.81979,0.60926,0.43445,0.88455,0.000509438,0.000509438,0.000509438
67,2073.1,0.56429,0.40197,0.88621,0.95889,0.91897,0.98025,0.81577,0.63201,0.43426,0.89048,0.000495291,0.000495291,0.000495291
68,2110.71,0.55073,0.39321,0.8846,0.94563,0.93653,0.98066,0.81833,0.62934,0.42416,0.87582,0.000481144,0.000481144,0.000481144
69,2148.74,0.53743,0.38382,0.87771,0.93803,0.95322,0.9818,0.82156,0.63508,0.4142,0.87895,0.000466997,0.000466997,0.000466997
70,2187.55,0.54181,0.38917,0.88046,0.92912,0.93484,0.97652,0.82395,0.61918,0.42056,0.8751,0.00045285,0.00045285,0.00045285
71,2232.04,0.51549,0.37466,0.86408,0.95236,0.92971,0.98023,0.82445,0.6298,0.4231,0.8901,0.000438703,0.000438703,0.000438703
72,2277.8,0.53807,0.38197,0.87979,0.93703,0.93691,0.97793,0.82302,0.62223,0.41432,0.889,0.000424556,0.000424556,0.000424556
73,2322.76,0.53469,0.37456,0.8756,0.91409,0.95366,0.97849,0.81512,0.65745,0.44347,0.90047,0.000410409,0.000410409,0.000410409
74,2360.89,0.53099,0.37634,0.87821,0.92694,0.91982,0.97268,0.81922,0.60481,0.41925,0.87955,0.000396262,0.000396262,0.000396262
75,2397.57,0.51343,0.35676,0.86233,0.94551,0.91854,0.96924,0.80771,0.61006,0.42903,0.88458,0.000382115,0.000382115,0.000382115
76,2441.92,0.52753,0.37723,0.87944,0.94032,0.92613,0.97617,0.81672,0.62361,0.42908,0.88537,0.000367967,0.000367967,0.000367967
77,2487.64,0.52764,0.37185,0.87728,0.96464,0.902,0.97152,0.81349,0.63822,0.43085,0.88961,0.00035382,0.00035382,0.00035382
78,2535.06,0.49906,0.35641,0.86149,0.95859,0.92097,0.98027,0.83115,0.60542,0.41947,0.87813,0.000339673,0.000339673,0.000339673
79,2582.93,0.51029,0.36616,0.87423,0.95618,0.92335,0.9807,0.82843,0.6165,0.41237,0.88472,0.000325526,0.000325526,0.000325526
80,2627.49,0.51593,0.37104,0.87479,0.93847,0.92999,0.97769,0.83033,0.5894,0.39969,0.881,0.000311379,0.000311379,0.000311379
